id,run_id,portfolio_id,manager_id,consumer_id,consumer_name,symbol,sector,action,signal_status,signal_score,avg_confidence,avg_r2,expected_return,current_weight,optimized_weight,latest_price,decision_date,outcome_price,outcome_date,realised_return,prediction_error,risk_profile,mandate_profile,holding_period_days
trd_dd99ddf01705,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,BUAFOODS,Consumer Goods,add,BUY,0.143367,0.17,0.13,0.148331,0.0,0.15,609.5791,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_24ba6248b3c7,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,DANGCEM,Industrial Goods,exit,SELL,0.0745,0.09,0.07,-0.00275,0.25,0.0,464.9869,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_9be3a70b07bf,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,FLOURMILL,Consumer Goods,add,BUY,0.088673,0.1,0.08,0.221009,0.0,0.15,75.6538,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_80ce49683a43,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,GTCO,Banking,add,BUY,0.13758,0.16,0.13,0.055138,0.0,0.046458,53.4139,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_a107d1b83668,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,MTNN,Telecommunications,add,BUY,0.123647,0.15,0.12,0.183568,0.0,0.15,382.2834,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_5f821863e3db,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,NESTLE,Consumer Goods,add,BUY,0.071332,0.08,0.06,0.026094,0.0,0.076799,1293.8531,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_5329cd816634,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,OANDO,Oil and Gas,reduce,SELL,0.0325,0.05,0.0,-0.0019,0.15,0.098599,29.7597,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_52954380540c,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,SEPLAT,Oil and Gas,reduce,BUY,0.174322,0.21,0.17,-0.220065,0.6,0.15,1295.0296,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_b13d9fc4f347,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,STANBIC,Banking,add,BUY,0.099254,0.12,0.09,-0.02052,0.0,0.028144,58.7927,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_1422e91bb529,batch_8714c7715dcb,pf_fec98b00e342,mgr_381c500fb93e,cons_093ea2c82b57,Emeka Eze,ZENITHBANK,Banking,add,BUY,0.152464,0.18,0.14,0.197955,0.0,0.15,65.7201,2026-06-11T02:24:22.648654+00:00,,,,,aggressive,growth_equity,20
trd_680c6c603d2c,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,AIRTELAFRI,Telecommunications,reduce,BUY,0.042925,0.06,0.0,0.12705,0.375,0.1485,3384.1022,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_8199fb436a2f,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,BUAFOODS,Consumer Goods,reduce,BUY,0.143367,0.17,0.13,0.148331,0.175,0.1485,609.5791,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_e162297cc2c3,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,FLOURMILL,Consumer Goods,add,BUY,0.088673,0.1,0.08,0.221009,0.0,0.1485,75.6538,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_09e4b10fdbee,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,GTCO,Banking,add,BUY,0.13758,0.16,0.13,0.055138,0.0,0.034153,53.4139,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_a8ad145e5152,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,MTNN,Telecommunications,add,BUY,0.123647,0.15,0.12,0.183568,0.0,0.1485,382.2834,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_b5491ebf1bd1,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,NESTLE,Consumer Goods,add,BUY,0.071332,0.08,0.06,0.026094,0.0,0.064847,1293.8531,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_07a32d722508,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,SEPLAT,Oil and Gas,reduce,BUY,0.174322,0.21,0.17,-0.220065,0.45,0.1485,1295.0296,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_1926a2af11e9,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,STANBIC,Banking,add,BUY,0.099254,0.12,0.09,-0.02052,0.0,0.01,58.7927,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_3fd20b8db80b,batch_8714c7715dcb,pf_4d66e1ee069f,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,ZENITHBANK,Banking,add,BUY,0.152464,0.18,0.14,0.197955,0.0,0.1485,65.7201,2026-06-11T02:24:22.672529+00:00,,,,,aggressive,growth_equity,20
trd_ea5c1cfcb3a9,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,AIRTELAFRI,Telecommunications,add,BUY,0.042925,0.06,0.0,0.12705,0.0,0.1,3384.1022,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_f8d79d81c11e,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,BUAFOODS,Consumer Goods,add,BUY,0.143367,0.17,0.13,0.15152,0.0,0.1,609.5791,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_c6e4c740f4eb,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,DANGCEM,Industrial Goods,reduce,SELL,0.0745,0.09,0.07,-0.00275,0.143333,0.1,464.9869,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_d259b11f0623,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,FLOURMILL,Consumer Goods,add,BUY,0.088673,0.1,0.08,0.221009,0.0,0.1,75.6538,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_e74013fefa6a,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,GTCO,Banking,reduce,BUY,0.13758,0.16,0.13,0.055614,0.206667,0.1,53.4139,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_8a2d2d0be2fa,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,MTNN,Telecommunications,reduce,BUY,0.123647,0.15,0.12,0.18711,0.26,0.1,382.2834,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_2d64ef31329b,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,NESTLE,Consumer Goods,keep,BUY,0.071332,0.08,0.06,0.026094,0.106667,0.1,1293.8531,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_7b6494592105,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,SEPLAT,Oil and Gas,add,BUY,0.174322,0.21,0.17,-0.231215,0.0,0.1,1295.0296,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_39d13da10a43,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,STANBIC,Banking,add,BUY,0.099254,0.12,0.09,-0.021302,0.0,0.1,58.7927,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
trd_c0e2b76237dd,batch_8714c7715dcb,pf_e13308992137,mgr_381c500fb93e,cons_5ed26df9a888,Chinedu Okafor,ZENITHBANK,Banking,reduce,BUY,0.152464,0.18,0.14,0.202648,0.283333,0.1,65.7201,2026-06-11T02:24:22.686243+00:00,,,,,balanced,balanced_equity,20
